PORT_ID,TERMINAL_ID,IS_BALLAST,n_obs
103029,,1,68
101122,,0,64
104526,,1,48
100469,,0,45
103029,,0,43
104526,,0,30
101967,,0,29
100682,,1,26
100817,,0,26
102955,,0,24
101435,,0,23
100963,,0,21
104131,,1,19
102825,,1,19
103378,,1,19
103527,,0,17
101690,,1,15
102146,,0,13
106354,,0,13
100195,,0,13
101690,,0,12
100265,,0,12
104146,,1,11
110107,,1,11
101962,,0,10
103963,,0,10
101677,,1,10
100343,,0,10
102517,,1,9
102567,,0,9
103707,,1,9
102355,,0,8
102379,,0,8
104130,,1,8
103274,,0,8
101506,,0,8
104559,,1,8
100694,,0,8
104284,,0,7
104131,,0,7
101014,,0,7
101799,,0,7
101122,,1,7
101278,,1,6
103315,,1,6
101040,,1,6
106681,,1,6
101749,,0,6
101266,,1,6
108623,,1,6
101390,,0,6
102036,,0,6
101110,,0,6
101651,,0,6
104698,,1,6
104658,,1,6
103154,,0,6
101234,,0,6
101379,,0,6
103287,,0,5
103370,,0,5
103281,,1,5
100269,,0,5
102886,,0,5
103578,,1,5
102351,,0,5
100955,,1,5
104424,,1,5
101705,,1,5
101095,,0,5
104040,960119.0,0,5
101137,,1,5
104645,,1,4
103905,,1,4
101545,,0,4
101371,,0,4
103459,,0,3
103514,,0,3
103378,,0,3
103681,,0,3
104420,,1,3
100071,,0,3
103011,,1,3
100551,,1,3
102035,,0,3
100817,,1,3
101770,,0,3
104418,,0,2
104078,,0,2
104109,,0,2
101059,,0,2
104360,,1,2
104417,,0,2
104417,,1,2
100963,,1,2
104420,,0,2
104441,,0,2
100744,907609.0,0,2
105591,,1,2
108424,,1,2
100385,915460.0,0,2
110855,,1,2
103742,,1,2
110876,,0,2
102513,,0,2
103670,,0,2
102379,,1,2
103347,955845.0,1,1
100611,,0,1
100651,,0,1
102813,,0,1
100817,913253.0,0,1
104546,,0,1
104493,,1,1
100946,,0,1
105590,,1,1
102742,,0,1
104435,,0,1
104434,,0,1
102546,,0,1
104903,,1,1
103315,911213.0,1,1
104421,957274.0,0,1
106116,,1,1
102858,,0,1
106354,,1,1
100517,,0,1
107532,,0,1
107748,,1,1
108127,,1,1
102955,,1,1
108623,,0,1
103276,,0,1
100265,,1,1
110331,,0,1
103011,,0,1
104421,957275.0,0,1
101973,,0,1
101055,,0,1
101426,,1,1
103607,,1,1
103758,,1,1
103793,,0,1
103888,915272.0,0,1
103899,,1,1
101744,,1,1
101719,959440.0,1,1
101588,,1,1
102035,915733.0,0,1
103571,,0,1
104109,,1,1
101588,,0,1
101514,,1,1
101122,954979.0,0,1
103707,953766.0,1,1
104168,,0,1
104177,,0,1
104266,,1,1
103271,,0,1
103548,,0,1
103527,,1,1
104416,,0,1
103514,,1,1
102308,,0,1
104418,,1,1
104419,909936.0,0,1
104419,909936.0,1,1
104419,,0,1
104284,908002.0,0,1
