"VESSEL_ID","VESSEL_NAME","VESSEL_TYPE_ID","DWT_SUMMER","DRAFT_SUMMER","LOA","BEAM","VESSEL_OPEN_PORT_ID","VESSEL_AVAILABLE_UTC"
1038667,"Test Vessel",1038665,0,0,0,0,104780,14-JAN-25
1038706,"TEST",1038665,0,0,0,0,104780,16-JAN-25
1038877,"Almi Galaxy",1039859,157787,0,274,48.03,104780,21-JAN-25
1039666,"Almi Sky",1039859,0,0,0,0,104780,23-JAN-25
1039921,"Aura M",1039859,0,0,0,0,104780,23-JAN-25
1040471,"Crude Zephyrus",1039859,0,0,0,0,104780,23-JAN-25
1040549,"Dallas",1039859,0,0,0,0,104780,23-JAN-25
1040617,"Dee4 Juniper",1038665,49999,0,0,0,104780,23-JAN-25
1040826,"Dee4 Mahogany",1038665,49999,0,0,0,104780,23-JAN-25
1040969,"Aquafreedom",1039859,0,0,0,0,104780,24-JAN-25
1041021,"Dee4 Nerium",1038665,49990,0,0,0,104780,24-JAN-25
1041077,"Emma Grace",1038665,49997,0,0,0,104780,24-JAN-25
1041125,"Largo Energy",1038665,49737,0,0,0,104780,24-JAN-25
1041179,"Largo Evolution",1038665,49737,0,0,0,104780,24-JAN-25
1041237,"Safeen Elizabeth",1039859,0,0,0,0,104780,24-JAN-25
1041307,"Solar Tine",1038665,49342,0,0,0,104780,24-JAN-25
1041384,"Sonangol Cabinda",1039859,0,0,0,0,104780,24-JAN-25
1041462,"Sonangol Cazenga",1039859,0,0,0,0,104780,24-JAN-25
1041542,"Sonangol Huila",1039859,0,0,0,0,104780,24-JAN-25
1041620,"Sonangol Kalandula",1039859,0,0,0,0,104780,24-JAN-25
1041696,"Sonangol Kulumbimbi",1039859,0,0,0,0,104780,24-JAN-25
1041768,"Sonangol Maiombe",1039859,0,0,0,0,104780,24-JAN-25
1041848,"Sonangol Namibe",1039859,0,0,0,0,104780,24-JAN-25
1041918,"Sonangol Njinga Mbande",1039859,0,0,0,0,104780,24-JAN-25
1041990,"Sonangol Porto Amboim",1039859,0,0,0,0,104780,24-JAN-25
1042074,"Sonangol Rangel",1039859,0,0,0,0,104780,24-JAN-25
1042150,"Customer1 Conductor",1038665,49999,0,0,0,104780,24-JAN-25
1042216,"Customer1 Convoy",1038665,49999,0,0,0,104780,24-JAN-25
1042278,"Customer1 Image",1038665,49719,0,0,0,104780,24-JAN-25
1042332,"Customer1 Imagination",1038665,49689,0,0,0,104780,24-JAN-25
1042388,"Customer1 Immaculate",1038665,49729,0,0,0,104780,24-JAN-25
1042444,"Customer1 Immortal",1038665,49647,0,0,0,104780,24-JAN-25
1042500,"Customer1 Impeccable",1038665,49737,0,0,0,104780,24-JAN-25
1042556,"Customer1 Imperative",1038665,49729,0,0,0,104780,24-JAN-25
1042612,"Customer1 Imperator",1038665,49690,0,0,0,104780,24-JAN-25
1042668,"Customer1 Imperial",1038665,49749,0,0,0,104780,24-JAN-25
1042724,"Customer1 Impero",1038665,49682,0,0,0,104780,24-JAN-25
1042784,"Customer1 Important",1038665,49731,0,0,0,104780,24-JAN-25
1042844,"Customer1 Impression",1038665,49776,0,0,0,104780,24-JAN-25
1042900,"Customer1 Imprimis",1038665,49718,0,0,0,104780,24-JAN-25
1042956,"Customer1 Impulse",1038665,49762,0,0,0,104780,24-JAN-25
1043022,"Customer1 Suede",1039859,0,0,0,0,104780,24-JAN-25
1043108,"Customer1 Sunrise",1039859,0,0,0,0,104780,24-JAN-25
1043194,"Customer1 Sunshine",1039859,0,0,0,0,104780,24-JAN-25
1043280,"Customer1 Superior",1039859,0,0,0,0,104780,24-JAN-25
1043366,"Customer1 Surprise",1039859,0,0,0,0,104780,24-JAN-25
1043436,"Zandolie",1038665,29668,0,0,0,104780,24-JAN-25
1043488,"Lady Amanda",1038665,49996,0,0,0,104780,24-JAN-25
1043540,"Kalk Bay",1038665,0,0,0,0,104780,24-JAN-25
1067879,"Olympios",1038665,0,0,0,0,104780,30-JAN-25
1095347,"Dee4 test",1038665,0,0,0,0,104780,12-FEB-25
1215839,"MV Binne",1038665,0,0,0,0,104780,26-MAR-25
1229091,"Peter-Test",1039859,149999,0,22,11,104780,27-MAR-25
1595696,"Standard MR",1038665,0,0,0,0,104780,13-MAY-25
1650272,"100 Point Suezmax",1039859,0,0,0,0,104780,29-MAY-25
1651778,"Almi Navigator",1039859,0,0,0,0,104780,29-MAY-25
1656475,"Golden Sun",1038665,49988,0,0,0,104780,30-MAY-25
1664115,"Nord Valhalla",1038665,49999,0,0,0,104780,02-JUN-25
1668130,"Dee4 Kastania",1038665,49999,0,0,0,104780,03-JUN-25
1669802,"Castara",1038665,50620,0,0,0,104780,03-JUN-25
1832345,"Sea Cougar",1038665,29529,0,0,0,104780,08-JUL-25
2638396,"Kalk Bay ",1038665,0,0,0,0,104780,24-JAN-25
2638622,"ee fitzgerald",1038665,0,0,0,0,104780,16-SEP-25
2752276,"kh test test",1038665,0,0,0,0,104780,24-SEP-25
2752660,"Test 2",1039859,0,0,0,0,104780,24-SEP-25
